"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 09 08:15:35 UTC 2026","Fri Jan 09 08:15:35 UTC 2026","68","tests","test_user_api","TestUserAPI","","","Успешное получение данных пользователя","Тест получения данных пользователя"
"passed","Fri Jan 09 08:15:34 UTC 2026","Fri Jan 09 08:15:34 UTC 2026","118","tests","test_user_api","TestUserAPI","","","Создание пользователя с пустыми данными","Тест создания пользователя с пустыми данными"
"passed","Fri Jan 09 08:15:34 UTC 2026","Fri Jan 09 08:15:34 UTC 2026","97","tests","test_user_api","TestUserAPI","","","Успешный вход в систему","Тест успешного входа пользователя"
"passed","Fri Jan 09 08:15:34 UTC 2026","Fri Jan 09 08:15:34 UTC 2026","57","tests","test_user_api","TestUserAPI","","","Неуспешный вход с невалидными данными","Тест неуспешного входа с невалидными данными"
"passed","Fri Jan 09 08:15:35 UTC 2026","Fri Jan 09 08:15:35 UTC 2026","69","tests","test_user_api","TestUserAPI","","","Обновление несуществующего пользователя","Тест обновления несуществующего пользователя"
"passed","Fri Jan 09 08:15:35 UTC 2026","Fri Jan 09 08:15:35 UTC 2026","54","tests","test_user_api","TestUserAPI","","","Удаление несуществующего пользователя","Тест удаления несуществующего пользователя"
"passed","Fri Jan 09 08:15:35 UTC 2026","Fri Jan 09 08:15:35 UTC 2026","87","tests","test_user_api","TestUserAPI","","","Успешное обновление данных пользователя","Тест успешного обновления данных пользователя"
"passed","Fri Jan 09 08:15:34 UTC 2026","Fri Jan 09 08:15:34 UTC 2026","66","tests","test_user_api","TestUserAPI","","","Неуспешный вход с невалидными данными","Тест неуспешного входа с невалидными данными"
"passed","Fri Jan 09 08:15:34 UTC 2026","Fri Jan 09 08:15:34 UTC 2026","93","tests","test_user_api","TestUserAPI","","","Неуспешный вход с невалидными данными","Тест неуспешного входа с невалидными данными"
"passed","Fri Jan 09 08:15:35 UTC 2026","Fri Jan 09 08:15:35 UTC 2026","184","tests","test_user_api","TestUserAPI","","","Создание 10 пользователей за разумное время","Тест создание нескольких пользователей"
"passed","Fri Jan 09 08:15:34 UTC 2026","Fri Jan 09 08:15:35 UTC 2026","73","tests","test_user_api","TestUserAPI","","","Успешный выход из системы","Тест успешного выхода из системы"
"passed","Fri Jan 09 08:15:35 UTC 2026","Fri Jan 09 08:15:35 UTC 2026","88","tests","test_user_api","TestUserAPI","","","Получение несуществующего пользователя","Тест получения несуществующего пользователя"
"passed","Fri Jan 09 08:15:34 UTC 2026","Fri Jan 09 08:15:34 UTC 2026","73","tests","test_user_api","TestUserAPI","","","Успешное создание пользователя","Тест успешного создания пользователя"
"passed","Fri Jan 09 08:15:35 UTC 2026","Fri Jan 09 08:15:35 UTC 2026","141","tests","test_user_api","TestUserAPI","","","Успешное удаление пользователя","Тест успешного удаления пользователя"
